mass_solar,radius_km,Lambda,S_limit
0.8341992295243055,14.9275101692302,6983.988330828017,9.81
0.9117945702440852,14.75098553839278,4019.1532780234643,9.81
0.9831219970608556,14.586146705976844,2487.3144025660845,9.81
1.0482468520730923,14.42189529588892,1629.0163882219476,9.81
1.1087702327196536,14.271481711200746,1116.411313149441,9.81
1.1650629462279063,14.131212155068338,794.0675345092569,9.81
1.2173867244897767,13.997878271828084,582.5623366512558,9.81
1.26592780692937,13.868749723584568,438.74516236637686,9.81
1.310856134133037,13.74190770846712,337.94146316349793,9.81
1.3524118680799535,13.616823923790928,265.41659189139074,9.81
1.3909799059719352,13.494740915906924,212.03801312484444,9.81
1.4264940107686437,13.372738094484603,171.95958685229132,9.81
1.4600918993926495,13.259398590317245,141.3315252930313,9.81
1.492194483465784,13.156136587275569,117.55449381282148,9.81
1.5230387652701882,13.062822105968486,98.8339633127254,9.81
1.552716051842557,12.97829127948785,83.90608814431897,9.81
1.5812418749901829,12.901021234499083,71.86464539859962,9.81
1.6086107237563303,12.829581679814597,62.049189156777935,9.81
1.6348234590593875,12.762814513504948,53.97122004853034,9.81
1.6598954136474546,12.699848034254032,47.26450217491259,9.81
1.683855342046522,12.640046072161644,41.651037129623475,9.81
1.706741539172549,12.582946306932172,36.91738270391209,9.81
1.7285979441562125,12.528208242291589,32.897925303131686,9.81
1.7494711161221228,12.475574899675888,29.462901543459598,9.81
1.769408154182284,12.424846379818128,26.509711392657533,9.81
1.7884553762087685,12.37586218533936,23.956543875571025,9.81
1.8066575380808192,12.328489556624094,21.73764823036873,9.81
1.82405741345346,12.282615785287408,19.79978973862438,9.81
1.8406956037059627,12.238143110760609,18.099567935622282,9.81
1.8566104895826383,12.194985282144843,16.60136909951545,9.81
1.8718382667102331,12.15306519375726,15.275789790194054,9.81
1.8864130281960687,12.11231321702162,14.098413414213844,9.81
1.900366871386556,12.072665988895324,13.048853641867023,9.81
1.9137300148123968,12.034065504281244,12.110001176211185,9.81
1.9265309170202207,11.996458414915468,11.267426673871652,9.81
1.9387963925392864,11.95979547188849,10.508904444159283,9.81
1.950551722422228,11.92403107082276,9.824030209484782,9.81
1.961820758130176,11.889122872575667,9.203912598749307,9.81
1.972626018325517,11.85503148116167,8.640922797667418,9.81
1.982988778594386,11.821720166262496,8.128490341503095,9.81
1.9929291543741876,11.789154621387407,7.660935723893845,9.81
2.002466177490085,11.757302751184667,7.233332538236176,9.81
2.0116178667584754,11.726134483045676,6.8413934305338735,9.81
2.0204012931263704,11.695621599270016,6.48137534501892,9.81
2.02883263980228,11.665737586852217,6.150000474677861,9.81
2.0369272578081934,11.636457502522804,5.844390053473942,9.81
2.0446997173506105,11.607757851100256,5.562008694268689,9.81
2.0521638553751838,11.579616475532475,5.300617422727762,9.81
2.0593328196367096,11.552012457257511,5.058233910380863,9.81
2.066219109585211,11.52492602571305,4.833098690371477,9.81
