rho_c_over_n0,M_solar,R_km,P_central,S_central_kB,cs2_over_c2
0.8,0.8272826792352331,14.803742523418544,2.0035169078398117e+34,3.814716086346512,0.12768564486857903
0.8494287694075531,0.8597415896500884,14.729015845401891,2.3274773298194347e+34,3.809114882985802,0.13368088085937022
0.8988575388151061,0.8911572530446996,14.658158286744165,2.680990082663635e+34,3.8058375645608544,0.13933692766532946
0.948286308222659,0.921586336590382,14.590726947741947,3.0649030725332383e+34,3.804828999173696,0.14469011905692714
0.997715077630212,0.951079119532126,14.526336474674686,3.4800411781738965e+34,3.806101303967543,0.14977124632118394
1.047143847037765,0.9788761753625714,14.45277445077518,3.927208031776714e+34,3.878830541660695,0.154606631217218
1.096572616445318,1.0057744949054233,14.381688118099444,4.407187581397295e+34,3.954143092456485,0.15921895123513077
1.1460013858528708,1.0318494717515123,14.313327027105442,4.920745470713479e+34,4.0291081302155085,0.16362788275875154
1.195430155260424,1.0571333034657495,14.24737747882036,5.468630264699569e+34,4.104255124580288,0.16785060831735185
1.244858924667977,1.0816540660896772,14.1835479935815,6.051574544289252e+34,4.1801499977248255,0.17190222099765118
1.29428769407553,1.1054359817885206,14.12156423128835,6.670295888837817e+34,4.2574001387741545,0.1757960500637335
1.343716463483083,1.1284996741766338,14.0611653215375,7.325497761857016e+34,4.336655868571584,0.17954392551744563
1.393145232890636,1.1508624494344577,14.00210166760078,8.0178703128552185e+34,4.418606849065487,0.18315639484374668
1.442574002298189,1.1725386469337586,13.944134387781398,8.748091106005845e+34,4.5039715636659405,0.1866429019504133
1.492002771705742,1.1935401077581744,13.887036620920725,9.516825784666236e+34,4.59347776983845,0.1900119359491467
1.541431541113295,1.2138768102002595,13.83059692591664,1.0324728679387132e+35,4.687831911799607,0.19327115567923983
1.590860310520848,1.2335577137848177,13.774624914590133,1.1172443365921139e+35,4.787676104548051,0.19642749457026862
1.640289079928401,1.2525918326347236,13.71895903711011,1.2060603178805203e+35,4.89353270210765,0.19948724945517093
1.689717849335954,1.270989520803626,13.663476066506682,1.2989831685317403e+35,5.00573880719788,0.20245615619411209
1.739146618743507,1.2887638956657204,13.60810131831544,1.3960743123961223e+35,5.124376301477442,0.20533945439190046
1.7885753881510602,1.305932256531286,13.552818073563154,1.4973942811087073e+35,5.249206602654147,0.20814194304366665
1.838004157558613,1.322517289916343,13.497674210151658,1.6030027518801614e+35,5.379622399554581,0.21086802859323586
1.887432926966166,1.338547814935403,13.442783913105991,1.7129585826925982e+35,5.514629684473391,0.21352176661274824
1.936861696373719,1.3540588391540966,13.388322740385988,1.827319845143155e+35,5.652871137482027,0.21610689809328504
1.986290465781272,1.3690907837403283,13.334515350986466,1.9461438551497266e+35,5.792695732932476,0.21862688116159623
2.0357192351888247,1.3834707810390745,13.279532740341608,2.0694872017087735e+35,5.945147102312472,0.22108491889772167
2.085148004596378,1.3973810325832274,13.225015397754206,2.19740577387395e+35,6.0999000546179545,0.22348398381493462
2.1345767740039308,1.4109502745007827,13.172018923361987,2.3299547861059502e+35,6.250182823539085,0.22582683947133053
2.184005543411484,1.4242201926688176,13.12074676198038,2.4671888021280464e+35,6.394481171337884,0.22811605960715087
2.2334343128190373,1.4372272525199292,13.07135096626221,2.6091617574077795e+35,6.531604425595926,0.23035404514017485
2.2828630822265903,1.4500015054575917,13.02392477888184,2.7559269803731133e+35,6.66073444717185,0.23254303930057219
2.332291851634143,1.4625661738625275,12.978502500621127,2.9075372124606113e+35,6.781429466695146,0.23468514114440503
2.381720621041696,1.4749379263406277,12.935065249596484,3.0640446270837085e+35,6.893590877805597,0.2367823176498422
2.431149390449249,1.4871276571846357,12.893550537927773,3.225500847600816e+35,6.997405521205388,0.2388364145708008
2.480578159856802,1.4991415514640765,12.85386352687916,3.39195696435558e+35,7.093276634708373,0.2408491661981071
2.5300069292643546,1.510982237402437,12.815888194816893,3.563463550855013e+35,7.181754508922475,0.24282220415753442
2.579435698671908,1.5226498778580255,12.77949722686754,3.740070679145379e+35,7.2634744264802045,0.24475706535655056
2.628864468079461,1.5341431107434502,12.744560011155452,3.921827934440403e+35,7.339105921158406,0.24665519917674575
2.678293237487014,1.5454597991352546,12.71094858579592,4.108784429051808e+35,7.409314526562893,0.24851797399626424
2.727722006894567,1.556597588812602,12.678541683708538,4.300988815667834e+35,7.47473526247552,0.2503466831157664
2.77715077630212,1.5675542933345308,12.647227181384954,4.4984893000217176e+35,7.535956070984111,0.25214255015220316
2.826579545709673,1.578328137172864,12.616903309474113,4.701333652988651e+35,7.593509049173624,0.2539067339567446
2.876008315117226,1.5889178895796707,12.587478967439829,4.909569222146686e+35,7.647867387293834,0.255640333106367
2.925437084524779,1.599322919212924,12.558873434589769,5.123242942834257e+35,7.699446207089926,0.25734439001269405
2.974865853932332,1.6095431946543526,12.531015708258126,5.342401348734505e+35,7.748605861618982,0.25901989468657755
3.024294623339885,1.619579250504399,12.50384364030682,5.567090582014236e+35,7.795656619674257,0.26066778819245895
3.0737233927474383,1.6294321336656457,12.477302991932206,5.797356403043368e+35,7.840863972154822,0.2622889658226924
3.123152162154991,1.639103340148616,12.451346486133902,6.0332441997187325e+35,7.884454049477073,0.26388428001863745
3.172580931562544,1.648594749359092,12.425932906768285,6.2747989964144596e+35,7.926618829293519,0.2654545430623826
3.222009700970097,1.6579085602933867,12.401026271392393,6.5220654625794986e+35,7.967520950649403,0.26700052956037873
