mass_solar,radius_km,rho_c_over_n0,S_central_kB,S_limit,compactness
0.8272826792352331,14.803742523418544,0.8,3.8147160863465115,8.0,0.08253537656784604
0.8597415896500884,14.729015845401893,0.8494287694075531,3.809114882985802,8.0,0.0862088665407476
0.8911572530446996,14.658158286744165,0.8988575388151061,3.8058375645608544,8.0,0.08979097086964566
0.9215863365903821,14.590726947741947,0.948286308222659,3.804828999173696,8.0,0.09328607608023318
0.9510791195321259,14.526336474674686,0.997715077630212,3.806101303967543,8.0,0.09669817461886714
0.9788761753625714,14.45277445077518,1.047143847037765,3.8788305416606947,8.0,0.10003091967999449
1.0057744949054233,14.381688118099444,1.096572616445318,3.9541430924564853,8.0,0.10328766994301843
1.0318494717515125,14.313327027105442,1.1460013858528708,4.0291081302155085,8.0,0.10647152647264428
1.0571333034657497,14.247377478820361,1.195430155260424,4.104255124580288,8.0,0.10958536345423159
1.0816540660896772,14.183547993581499,1.244858924667977,4.1801499977248255,8.0,0.11263185402216849
1.1054359817885206,14.12156423128835,1.2942876940755301,4.2574001387741545,8.0,0.11561349214085707
1.1284996741766338,14.0611653215375,1.343716463483083,4.336655868571584,8.0,0.11853261127926384
1.1508624494344575,14.002101667600781,1.393145232890636,4.418606849065487,8.0,0.12139140045760788
1.1725386469337586,13.944134387781398,1.442574002298189,4.5039715636659405,8.0,0.12419191812263079
1.1935401077581744,13.887036620920723,1.492002771705742,4.59347776983845,8.0,0.12693610421497134
1.2138768102002597,13.830596925916641,1.541431541113295,4.687831911799607,8.0,0.12962579072071337
1.2335577137848177,13.774624914590133,1.590860310520848,4.787676104548051,8.0,0.13226271094367856
1.2525918326347236,13.71895903711011,1.640289079928401,4.89353270210765,8.0,0.13484850769154383
1.270989520803626,13.663476066506682,1.6897178493359541,5.00573880719788,8.0,0.13738474053447622
1.2887638956657204,13.60810131831544,1.739146618743507,5.124376301477442,8.0,0.13987289226758154
1.305932256531286,13.552818073563154,1.7885753881510602,5.249206602654147,8.0,0.14231437468647146
1.322517289916343,13.497674210151658,1.838004157558613,5.379622399554581,8.0,0.14471053376746648
1.3385478149354033,13.442783913105991,1.887432926966166,5.514629684473391,8.0,0.14706265432949006
1.3540588391540966,13.388322740385988,1.936861696373719,5.652871137482027,8.0,0.14937196424285584
1.3690907837403283,13.334515350986466,1.986290465781272,5.792695732932476,8.0,0.15163963824039528
1.3834707810390743,13.279532740341608,2.0357192351888247,5.945147102312472,8.0,0.1538668013782928
1.3973810325832274,13.225015397754206,2.085148004596378,6.0999000546179545,8.0,0.1560545321872658
1.4109502745007827,13.172018923361989,2.1345767740039308,6.250182823539085,8.0,0.15820386554910246
1.4242201926688176,13.120746761980381,2.184005543411484,6.394481171337884,8.0,0.16031579532883794
1.4372272525199292,13.07135096626221,2.2334343128190373,6.531604425595926,8.0,0.16239127678885704
1.4500015054575917,13.02392477888184,2.2828630822265903,6.66073444717185,8.0,0.16443122880782465
1.4625661738625275,12.978502500621127,2.332291851634143,6.781429466695146,8.0,0.16643653592446395
1.4749379263406275,12.935065249596484,2.381720621041696,6.893590877805597,8.0,0.16840805022373723
1.4871276571846355,12.893550537927773,2.431149390449249,6.997405521205388,8.0,0.17034659308087366
1.4991415514640765,12.853863526879161,2.480578159856802,7.093276634708373,8.0,0.17225295677686767
1.510982237402437,12.815888194816893,2.5300069292643546,7.181754508922475,8.0,0.1741279059975034
1.5226498778580255,12.779497226867539,2.579435698671908,7.2634744264802045,8.0,0.17597217922659636
1.5341431107434502,12.744560011155452,2.628864468079461,7.339105921158406,8.0,0.1777864900429655
1.5454597991352546,12.71094858579592,2.678293237487014,7.409314526562893,8.0,0.17957152832961382
1.556597588812602,12.678541683708538,2.727722006894567,7.47473526247552,8.0,0.18132796140269666
1.5675542933345308,12.647227181384954,2.77715077630212,7.535956070984111,8.0,0.1830564350670679
1.578328137172864,12.616903309474113,2.826579545709673,7.593509049173624,8.0,0.18475757460449604
1.5889178895796707,12.587478967439827,2.876008315117226,7.647867387293834,8.0,0.18643198570003705
1.5993229192129241,12.558873434589769,2.925437084524779,7.699446207089926,8.0,0.18808025531150377
1.6095431946543526,12.531015708258126,2.974865853932332,7.748605861618982,8.0,0.1897029524864989
1.619579250504399,12.50384364030682,3.024294623339885,7.795656619674257,8.0,0.1913006291310515
1.6294321336656457,12.477302991932206,3.0737233927474383,7.840863972154822,8.0,0.1928738207335204
1.6391033401486161,12.451346486133902,3.123152162154991,7.884454049477073,8.0,0.19442304704709149
1.648594749359092,12.425932906768285,3.172580931562544,7.926618829293519,8.0,0.19594881273389747
1.6579085602933867,12.401026271392391,3.222009700970097,7.967520950649403,8.0,0.1974516079735155
0.8341992295243055,14.9275101692302,0.8,3.8147160863465115,9.81,0.08253537656784604
0.9117945702440851,14.750985538392781,0.9199413308677807,3.805130678337749,9.81,0.09129220416187617
0.9831219970608555,14.586146705976844,1.0398826617355614,3.8677072283633644,9.81,0.09954617209174561
1.0482468520730923,14.42189529588892,1.159823992603342,4.050080847257565,9.81,0.10734923578773212
1.1087702327196536,14.271481711200746,1.2797653234711226,4.234525576110292,9.81,0.11474406224071157
1.1650629462279063,14.131212155068338,1.3997066543389034,4.429726255159955,9.81,0.121766466044779
1.2173867244897767,13.997878271828084,1.519647985206684,4.645608790383879,9.81,0.12844703314258057
1.26592780692937,13.868749723584568,1.6395893160744646,4.891990309207425,9.81,0.13481224998487917
1.310856134133037,13.741907708467119,1.759530646942245,5.175130907300776,9.81,0.140885316393579
1.3524118680799535,13.616823923790928,1.8794719778100257,5.4926275496562145,9.81,0.14668674781064928
1.3909799059719352,13.494740915906924,1.9994133086778063,5.8298533425107575,9.81,0.15223483247870864
1.4264940107686435,13.372738094484603,2.119354639545587,6.2044746199646,9.81,0.15754598578463014
1.4600918993926497,13.259398590317243,2.2392959704133677,6.547347428002873,9.81,0.16263502987586984
1.492194483465784,13.156136587275569,2.3592373012811483,6.843624713590398,9.81,0.16751541779333495
1.5230387652701882,13.062822105968486,2.479178632148929,7.090666685711607,9.81,0.17219941562260135
1.5527160518425567,12.97829127948785,2.5991199630167094,7.294285466152488,9.81,0.17669825234380263
1.5812418749901829,12.901021234499085,2.71906129388449,7.4635919305529015,9.81,0.18102224445526702
1.6086107237563303,12.829581679814597,2.8390026247522706,7.607454382656539,9.81,0.18518090063143816
1.6348234590593875,12.762814513504948,2.9589439556200516,7.733014871346155,9.81,0.1891830103873216
1.6598954136474546,12.699848034254032,3.078885286487832,7.845488187313961,9.81,0.1930367197910701
1.6838553420465219,12.640046072161645,3.198826617355613,7.948484980348051,9.81,0.1967495965834483
1.706741539172549,12.582946306932172,3.3187679482233934,8.044439161360366,9.81,0.2003286865546425
1.7285979441562125,12.528208242291587,3.438709279091174,8.134976005106218,9.81,0.20378056264559463
1.7494711161221228,12.475574899675888,3.558650609958955,8.221184396494452,9.81,0.20711136794853538
1.7694081541822841,12.424846379818128,3.6785919408267356,8.303803860429198,9.81,0.2103268535556792
