rho_c_over_n0,M_solar,R_km,P_central,S_central_kB,cs2_over_c2
0.8,0.8341992295243055,14.9275101692302,2.0035169078398117e+34,3.814716086346512,0.12768564486857903
0.9199413308677808,0.9117945702440852,14.75098553839278,2.840981281287556e+34,3.805130678337749,0.1416554618231615
1.0398826617355614,0.9831219970608556,14.586146705976844,3.859480821891149e+34,3.867707228363365,0.15391078815337655
1.159823992603342,1.0482468520730923,14.42189529588892,5.070470561546554e+34,4.050080847257565,0.1648268263091674
1.2797653234711226,1.1087702327196536,14.271481711200746,6.484759741282048e+34,4.234525576110292,0.17466767200843175
1.3997066543389034,1.1650629462279063,14.131212155068338,8.112610262547177e+34,4.429726255159955,0.18362626820511185
1.519647985206684,1.2173867244897767,13.997878271828084,9.963812374558583e+34,4.645608790383879,0.19184787193575725
1.6395893160744646,1.26592780692937,13.868749723584568,1.2047744356919944e+35,4.891990309207425,0.19944457934487622
1.759530646942245,1.310856134133037,13.74190770846712,1.4373420573858589e+35,5.175130907300776,0.20650470956114686
1.8794719778100255,1.3524118680799535,13.616823923790928,1.6949530847148445e+35,5.492627549656215,0.21309908745254882
1.9994133086778063,1.3909799059719352,13.494740915906924,1.978447319813914e+35,5.8298533425107575,0.21928537918645938
2.119354639545587,1.4264940107686437,13.372738094484603,2.288638142534121e+35,6.2044746199646,0.22511116270314901
2.239295970413368,1.4600918993926495,13.259398590317245,2.626314859142207e+35,6.547347428002873,0.2306161517542087
2.3592373012811483,1.492194483465784,13.156136587275569,2.9922447222231674e+35,6.843624713590398,0.2358338389381199
2.479178632148929,1.5230387652701882,13.062822105968486,3.387174682858998e+35,7.090666685711607,0.24079273086050046
2.599119963016709,1.552716051842557,12.97829127948785,3.811832922296163e+35,7.294285466152488,0.2455172911968782
2.71906129388449,1.5812418749901829,12.901021234499083,4.266930200116402e+35,7.463591930552901,0.2500286708200401
2.8390026247522706,1.6086107237563303,12.829581679814597,4.753161048297912e+35,7.607454382656539,0.2543452802024493
2.958943955620052,1.6348234590593875,12.762814513504948,5.2712048347645696e+35,7.733014871346155,0.25848324329278044
3.078885286487832,1.6598954136474546,12.699848034254032,5.821726715567475e+35,7.845488187313961,0.2624567611505161
3.198826617355613,1.683855342046522,12.640046072161644,6.405378491376278e+35,7.948484980348051,0.26627840604849984
3.3187679482233934,1.706741539172549,12.582946306932172,7.022799381228608e+35,8.044439161360366,0.2699593614121064
3.438709279091174,1.7285979441562125,12.528208242291589,7.674616724316377e+35,8.134976005106218,0.2735096191410066
3.558650609958955,1.7494711161221228,12.475574899675888,8.361446618846373e+35,8.221184396494452,0.2769381430862946
3.678591940826736,1.769408154182284,12.424846379818128,9.083894505603464e+35,8.303803860429198,0.2802530054185959
3.798533271694516,1.7884553762087685,12.37586218533936,9.842555702695175e+35,8.383348057630243,0.2834615011089427
3.9184746025622967,1.8066575380808192,12.328489556624094,1.0638015897011755e+36,8.460184569691615,0.28657024460714536
4.038415933430077,1.82405741345346,12.282615785287408,1.1470851597154332e+36,8.534585856955065,0.28958525193978213
4.158357264297858,1.8406956037059627,12.238143110760609,1.2341630551933143e+36,8.606761646894899,0.2925120107894282
4.278298595165639,1.8566104895826383,12.194985282144843,1.3250912137992628e+36,8.676879517030525,0.2953555406065888
4.398239926033419,1.8718382667102331,12.15306519375726,1.4199247719661443e+36,8.74507802460834,0.29812044440855623
4.5181812569012,1.8864130281960687,12.11231321702162,1.51871809837366e+36,8.81147514459795,0.3008109536077106
4.63812258776898,1.900366871386556,12.072665988895324,1.6215248251580324e+36,8.876173754469352,0.3034309669654586
4.758063918636761,1.9137300148123968,12.034065504281244,1.7283978770625806e+36,8.939265255636869,0.3059840845720074
4.878005249504541,1.9265309170202207,11.996458414915468,1.8393894987145112e+36,9.000832013704034,0.3084736375952342
4.997946580372322,1.9387963925392864,11.95979547188849,1.9545512801923656e+36,9.060949044502326,0.31090271441548256
5.117887911240104,1.950551722422228,11.92403107082276,2.0739341810304344e+36,9.119685213653428,0.31327418366068166
5.237829242107884,1.961820758130176,11.889122872575667,2.197588552790752e+36,9.1771041180579,0.31559071457274607
5.357770572975665,1.972626018325517,11.85503148116167,2.325564160319576e+36,9.233264755748984,0.31785479506788833
5.477711903843445,1.982988778594386,11.821720166262496,2.457910201793231e+36,9.288222051845317,0.32006874779725913
5.597653234711226,1.9929291543741876,11.789154621387407,2.5946753276477443e+36,9.342027284105104,0.32223474446785927
5.717594565579006,2.002466177490085,11.757302751184667,2.735907658477379e+36,9.394728436362332,0.3243548186450781
5.837535896446787,2.0116178667584754,11.726134483045676,2.881654801979048e+36,9.446370498518109,0.3264308772260355
5.957477227314567,2.0204012931263704,11.695621599270016,3.031963869012317e+36,9.4969957256568,0.32846471074596717
6.077418558182348,2.02883263980228,11.665737586852217,3.1868814888383255e+36,9.546643864945995,0.33045800265724623
6.197359889050129,2.0369272578081934,11.636457502522804,3.346453823595215e+36,9.59535235644569,0.33241233770153594
6.31730121991791,2.0446997173506105,11.607757851100256,3.510726582062579e+36,9.643156512286795,0.33432920947939504
6.43724255078569,2.0521638553751838,11.579616475532475,3.6797450327628744e+36,9.690089677565314,0.3362100273079188
6.557183881653471,2.0593328196367096,11.552012457257511,3.8535540164436897e+36,9.736183375537568,0.3380561224452928
6.677125212521252,2.066219109585211,11.52492602571305,4.032197957981045e+36,9.78146743916899,0.339868753751123
